파일명,년도,위원회명,차수,사항구분,목차번호,안건명,의결사항
2021년도 문화재수리기술위원회 복원정비분과 제1차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,1,「서산 보원사지(사적)」 종합정비사업(2단계),보류
2021년도 문화재수리기술위원회 복원정비분과 제1차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,2,「부여 나성(사적)」 성곽(동나성 치부분) 정비공사,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제1차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,3,「고창 무장현 관아와 읍성(사적)」 훈련청 및 군기고 복원,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제2차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,1,"「북한산성(사적)」 보국문, 대동문 해체보수",조건부가결
2021년도 문화재수리기술위원회 복원정비분과 제2차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,2,「진도 남도진성(사적)」 동문루 및 성곽 등 복원,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제2차 회의록.pdf,2021,문화재수리기술위원회,,보고사항,3,문화재수리 설계승인 절차 개선 방안,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제3차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,1,「포항 장기읍성(사적)」 동문지 정비공사,보류
2021년도 문화재수리기술위원회 복원정비분과 제3차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,2,「서산 보원사지(사적)」 종합정비 사업(2단계),보류
2021년도 문화재수리기술위원회 복원정비분과 제3차 회의록.pdf,2021,문화재수리기술위원회,,보고사항,3,부여 나성 성곽(동나성 치부분) 정비공사,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,1,「남한산성(사적)」 암문 보수공사,부결
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,2,「남한산성(사적)」 외성 보수공사,부결
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,3,「고창 무장현 관아와 읍성(사적)」 훈련청 및 군기고 복원공사,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,4,「고창 용계리 청자 요지(사적)」 보수정비공사,부결
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,5,「부안 유천리 요지(사적)」 보호각 건립공사,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,6,「포항 장기읍성(사적)」 수구지 복원정비공사,의결사항 없음
2021년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2021,문화재수리기술위원회,,심의사항,7,「경주 나정(사적)」 경역정비공사,의결사항 없음
2022년도 문화재수리기술위원회 복원정비분과 제2차 회의록.pdf,2022,문화재수리기술위원회,,심의사항,1,「강진 전라병영성(사적)」 복원정비공사,부결
2022년도 문화재수리기술위원회 복원정비분과 제2차 회의록.pdf,2022,문화재수리기술위원회,,보고사항,2,고창 무장현 관아와 읍성 훈련청 및 군기고 복원 소위원회 결과,부결
2022년도 문화재수리기술위원회 복원정비분과 제2차 회의록.pdf,2022,문화재수리기술위원회,,보고사항,3,문화재수리 국보보조사업 현황(수리기술과 설계검토),조건부가결
2022년도 문화재수리기술위원회 복원정비분과 제3차 회의록.pdf,2022,문화재수리기술위원회,,심의사항,1,「남원 유곡리와 두락리 고분군(사적)」 고분 정비,의결사항 없음
2022년도 문화재수리기술위원회 복원정비분과 제3차 회의록.pdf,2022,문화재수리기술위원회,,심의사항,2,「강진 전라병영성(사적)」 복원정비공사,보류
2022년도 문화재수리기술위원회 복원정비분과 제3차 회의록.pdf,2022,문화재수리기술위원회,,보고사항,3,문화재수리 표준품셈 개정,보류
2022년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2022,문화재수리기술위원회,,심의사항,1,「한양도성 인왕 백악곡성 일대(사적)」 성곽정비공사,보류
2022년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2022,문화재수리기술위원회,,심의사항,2,「경주 황룡사지(사적)」 남쪽광장 정비공사,보류
2022년도 문화재수리기술위원회 복원정비분과 제4차 회의록.pdf,2022,문화재수리기술위원회,,심의사항,3,「경주 황룡사지(사적)」 진입부 기단 정비공사,의결사항 없음
