파일명,년도,위원회명,분과명,차수,소위원회여부,사항구분,목차번호,안건명,의결사항
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,2,사적제268호연천전곡리유적주변공동주택신축,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,3,사적제538호대구경상감영지주변주상복합신축,보류
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,4,사적제118호진주성주변진주대첩광장조성,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,7,사적제202호김포장릉주변공동주택단지조성,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,8,사적제205호파주삼릉주변단독주택단지조성,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,9,사적제125호종묘주변근린생활시설신축,보류
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,10,사적제206호화성융릉과건릉주변제2종근린생활시설,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,11,사적제206호화성융릉과건릉주변단독주택신축(허가사항,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,12,사적제206호화성융릉과건릉주변근린생활시설신축,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,13,사적제206호화성융릉과건릉주변근린생활시설신축,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,14,사적제381호여수충민사주변연립주택신축,의결사항 없음
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,15,사적제523호여수석보주변건축물(근린생활시설) 신축,의결사항 없음
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,16,사적제245호경주나정주변단독주택신축,조건부가결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,17,사적제415호청주정북동토성주변농막설치,의결사항 없음
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,18,사적제463호충주누암리고분군주변단독주택신축,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,19,사적제436호서울선농단주변다세대주택신축,부결
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,21,사적제423호이천설봉산성주변노유자시설(요양원) 신축,의결사항 없음
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,22,사적제314호광주조선백자요지주변단독주택신축,의결사항 없음
2020년도 문화재위원회 사적분과 제10차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,소위원회,심의사항,23,사적제314호광주조선백자요지주변단독주택(2개동) 신축,보류
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,1,태안안흥진성사적지정(충청남도지사),보류
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,2,사적제11호서울풍납동토성사적추가지정(송파구청장),보류
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,5,사적제482호김제군관아와향교내외도로정비(김제시장),조건부가결
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,7,사적제56호고양행주산성내외한강수변누리길조성,보류
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,8,사적제408호익산왕궁리유적내태양광에너지설비설치,원안가결
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,11,사적제271호경희궁지주변업무시설신축((주)태려),원안가결
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,13,사적제440호서울초안산분묘군내정비(도봉구청장),조건부가결
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,14,사적제107호강진정약용유적내외발굴조사(강진군수),부결
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,16,사적제337호나주읍성등내표지석정비(나주시장),의결사항 없음
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,17,사적제346호고창무장현관아와읍성내외광장조성등,보류
2020년도 문화재위원회 사적분과 제10차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제10차,위원회,심의사항,18,사적제519호고흥운대리분청사기요지주변수종갱신등,의결사항 없음
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,1,사적제11호서울풍납동토성사적추가지정,보류
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,2,사적제415호청주정북동토성보호구역내외진입로정비,부결
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,5,사적제392호여수선소유적내외선소테마정원조성,의결사항 없음
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,6,사적제556호인천계양산성보호구역내탐방로정비,원안가결
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,8,사적제135호부여궁남지보호구역내문화관광해설실및,보류
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,9,사적제440호서울초안산분묘군내정비,원안가결
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,심의사항,10,사적제232호남해관음포이충무공유적내조형물설치,보류
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,검토사항,11,사적제11호서울풍납동토성사적해제검토,부결
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,검토사항,12,사적제298호남원읍성문화재(보호)구역추가지정검토,부결
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,검토사항,14,사적제6호경주황룡사지북편정비사업계획검토,보류
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,검토사항,15,사적제18호경주동궁과월지보호구역내신라왕경방(坊),의결사항 없음
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,검토사항,16,사적제12호공주공산성디스플레이안내판설치계획검토,의결사항 없음
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,보고사항,17,문화재위원회사적분과제8차소위원회결과보고,의결사항 없음
2020년도 문화재위원회 사적분과 제11차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제11차,위원회,보고사항,18,국가지정문화재현상변경등처리보고,의결사항 없음
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,1,사적제11호서울풍납동토성사적추가지정,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,2,사적제216호칠곡가산산성사적추가지정,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,3,사적제311호경주남산일원내비닐하우스설치,부결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,4,사적제56호고양행주산성내외DMZ 평화의길조성,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,8,사적제124호덕수궁주변신문로공원조성,부결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,9,사적제415호청주정북동토성보호구역내외진입로정비,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,10,사적제33호서울영은문주초주변문화공원지하주차장,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,11,사적제10호서울한양도성보호구역내외남산주변보행로,부결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,12,사적제132호강화산성내주차공간확보를위한아스콘포장,부결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,13,사적제68호강진고려청자요지주변농사용창고신축,부결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,14,사적제145호고창읍성주변탐방로개설등,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,15,사적제498호장흥석대들전적내미술작품설치등,보류
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,심의사항,16,사적제556호인천계양산성주변건축행위등허용기준마련,보류
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,검토사항,19,청도읍성사적지정검토,부결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,검토사항,20,장수백화산고분군사적지정검토,원안가결
2020년도 문화재위원회 사적분과 제12차 위원회 회의록.pdf,2020,문화재위원회,사적분과,제12차,위원회,검토사항,21,사적제11호서울풍납동토성사적해제검토,의결사항 없음
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,1,사적제495호양양낙산사일원주변해변재해위험지역정비,보류
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,2,사적제538호대구경상감영지주변주상복합신축,보류
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,3,사적제375호광주신창동유적주변공원조성,보류
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,4,사적제513호나주반남고분군주변축사양성화,부결
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,5,사적제126호진도용장성주변수목장림조성,보류
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,6,사적제132호강화산성주변공동주택(연립주택) 신축,원안가결
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,7,사적제47호경주명활성주변제2 동궁원조성,보류
2020년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2020,문화재위원회,사적분과,제1차,소위원회,심의사항,8,사적제195호여주영릉과영릉주변단독주택신축,부결
