파일명,년도,위원회명,분과명,차수,소위원회여부,사항구분,목차번호,안건명,의결사항
2024년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,소위원회,심의사항,1,경산병영유적주변도시계획도로개설,부결
2024년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,소위원회,심의사항,2,함안가야리유적주변공장신축(A),부결
2024년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,소위원회,심의사항,3,함안가야리유적주변공장신축(B),조건부가결
2024년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,소위원회,심의사항,5,경산임당동과조영동고분군주변가설건축물(농막) 설치,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 소위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,소위원회,심의사항,6,나주반남고분군주변자연장지조성,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,1,서울풍납동토성문화재구역추가지정,원안가결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,2,경주남산일원내단독주택신축,원안가결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,3,경주남산일원주변단독주택신축,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,4,경주동방동와요지주변태양광발전시설설치,보류
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,5,경주원성왕릉주변단독주택신축,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,6,정읍고사부리성내외진입로정비,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,7,서울한양도성보호구역내근린생활시설증축,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,8,"서울탑골공원내서문, 담장일부철거및수목식재",보류
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,9,홍성홍주의사총주변태양광시설설치,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,10,홍성홍주읍성주변공동주택신축(허가사항변경허가),부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,11,강화외성내외지방관리방조제(용정지구) 개보수,보류
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,12,강화외성내외지방관리방조제(선바위지구) 개보수,원안가결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,13,청주상당산성보호구역내가설건축물(농막) 설치,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,14,남한산성내안테나및저압전주설치,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,15,영월부관아내조형물설치,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,16,경주남산일원내근린생활시설(휴게음식점) 신축,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,17,경주진덕여왕릉주변가설건축물(산림경영관리사) 신축,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,18,진도용장성내외터널정비,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,19,여주파사성내경관개선등,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,20,북한산성주변탐방로전기및이동통신선로재정비,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,21,파주윤관장군묘주변제2종근린생활시설신축,보류
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,22,양양오산리유적주변건축행위등에관한허용기준조정,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,23,양양낙산사일원주변건축행위등에관한허용기준조정,보류
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,24,여주파사성주변건축행위등에관한허용기준조정,보류
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,25,여주고달사지주변건축행위등에관한허용기준조정,의결사항 없음
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,26,파주윤관장군묘주변건축행위등에관한허용기준조정,부결
2024년도 문화재위원회 사적분과 제1차 위원회 회의록.pdf,2024,문화재위원회,사적분과,제1차,위원회,심의사항,27,파주오두산성주변건축행위등에관한허용기준조정,의결사항 없음
